github_id,measured_from,measured_to,commit_count_3m,pr_count_3m,merged_pr_count_3m,closed_unmerged_pr_count_3m,repository_contribution_count,contributed_repositories,fetched_at,fetch_status,error_message
gh-emp-0055,2026-02-21,2026-05-22,123,30,20,10,5,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app,2026-05-22T09:00:00+09:00,success,
gh-emp-0015,2026-02-21,2026-05-22,124,28,24,4,3,company/data-pipeline;company/mobile-app;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0035,2026-02-21,2026-05-22,135,25,21,4,4,company/auth-service;company/data-pipeline;company/design-system;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0039,2026-02-21,2026-05-22,56,16,13,3,5,company/auth-service;company/data-pipeline;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0043,2026-02-21,2026-05-22,103,3,2,1,4,company/data-pipeline;company/design-system;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0047,2026-02-21,2026-05-22,79,22,15,7,4,company/auth-service;company/data-pipeline;company/mobile-app;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0059,2026-02-21,2026-05-22,94,24,17,7,5,company/data-pipeline;company/design-system;company/mobile-app;company/observability;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0031,2026-02-21,2026-05-22,130,8,7,1,4,company/auth-service;company/design-system;company/mobile-app;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0051,2026-02-21,2026-05-22,98,12,10,2,7,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0067,2026-02-21,2026-05-22,86,16,13,3,4,company/auth-service;company/design-system;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0075,2026-02-21,2026-05-22,65,23,17,6,5,company/api-server;company/design-system;company/mobile-app;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0079,2026-02-21,2026-05-22,113,22,16,6,3,company/mobile-app;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0037,2026-02-21,2026-05-22,84,17,14,3,4,company/auth-service;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0045,2026-02-21,2026-05-22,73,15,14,1,6,company/auth-service;company/data-pipeline;company/design-system;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0049,2026-02-21,2026-05-22,88,15,13,2,4,company/design-system;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0013,2026-02-21,2026-05-22,125,23,16,7,3,company/mobile-app;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0025,2026-02-21,2026-05-22,103,18,12,6,5,company/data-pipeline;company/design-system;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0065,2026-02-21,2026-05-22,93,24,16,8,5,company/auth-service;company/data-pipeline;company/design-system;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0041,2026-02-21,2026-05-22,106,8,7,1,5,company/design-system;company/mobile-app;company/observability;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0053,2026-02-21,2026-05-22,126,19,16,3,4,company/api-server;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0057,2026-02-21,2026-05-22,102,11,8,3,2,company/data-pipeline;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0069,2026-02-21,2026-05-22,121,16,12,4,6,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0073,2026-02-21,2026-05-22,89,28,25,3,4,company/design-system;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0077,2026-02-21,2026-05-22,140,13,10,3,4,company/api-server;company/design-system;company/mobile-app;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0017,2026-02-21,2026-05-22,78,17,12,5,5,company/api-server;company/data-pipeline;company/design-system;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0021,2026-02-21,2026-05-22,110,8,7,1,5,company/api-server;company/design-system;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0029,2026-02-21,2026-05-22,109,32,29,3,4,company/design-system;company/observability;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0033,2026-02-21,2026-05-22,101,34,25,9,5,company/api-server;company/data-pipeline;company/design-system;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0061,2026-02-21,2026-05-22,55,22,20,2,5,company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability,2026-05-22T09:00:00+09:00,success,
gh-emp-0081,2026-02-21,2026-05-22,74,14,10,4,4,company/data-pipeline;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0014,2026-02-21,2026-05-22,68,12,9,3,5,company/data-pipeline;company/design-system;company/mobile-app;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0038,2026-02-21,2026-05-22,70,11,10,1,4,company/api-server;company/auth-service;company/design-system;company/observability,2026-05-22T09:00:00+09:00,success,
gh-emp-0042,2026-02-21,2026-05-22,90,11,9,2,7,company/api-server;company/data-pipeline;company/mobile-app;company/observability;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0058,2026-02-21,2026-05-22,50,14,12,2,6,company/api-server;company/auth-service;company/design-system;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0070,2026-02-21,2026-05-22,160,14,9,5,7,company/auth-service;company/design-system;company/mobile-app;company/observability;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0018,2026-02-21,2026-05-22,79,13,8,5,3,company/api-server;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0022,2026-02-21,2026-05-22,62,13,12,1,5,company/auth-service;company/design-system;company/mobile-app;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0046,2026-02-21,2026-05-22,106,21,17,4,7,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0062,2026-02-21,2026-05-22,60,12,10,2,6,company/api-server;company/auth-service;company/design-system;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0078,2026-02-21,2026-05-22,63,17,13,4,7,company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0082,2026-02-21,2026-05-22,83,23,18,5,5,company/auth-service;company/design-system;company/mobile-app;company/observability;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0026,2026-02-21,2026-05-22,130,16,14,2,5,company/api-server;company/auth-service;company/design-system;company/mobile-app;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0050,2026-02-21,2026-05-22,80,24,18,6,4,company/api-server;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0054,2026-02-21,2026-05-22,141,27,17,10,6,company/auth-service;company/data-pipeline;company/mobile-app;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0066,2026-02-21,2026-05-22,90,31,25,6,5,company/api-server;company/auth-service;company/data-pipeline;company/mobile-app;company/payment-service,2026-05-22T09:00:00+09:00,success,
gh-emp-0074,2026-02-21,2026-05-22,85,16,14,2,8,company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0030,2026-02-21,2026-05-22,114,25,21,4,6,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0034,2026-02-21,2026-05-22,85,19,12,7,3,company/auth-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0040,2026-02-21,2026-05-22,48,6,4,2,7,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0020,2026-02-21,2026-05-22,79,13,11,2,7,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0024,2026-02-21,2026-05-22,95,17,13,4,4,company/data-pipeline;company/mobile-app;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0048,2026-02-21,2026-05-22,103,16,11,5,4,company/api-server;company/design-system;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0056,2026-02-21,2026-05-22,62,23,19,4,5,company/auth-service;company/data-pipeline;company/mobile-app;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0068,2026-02-21,2026-05-22,43,13,12,1,5,company/auth-service;company/data-pipeline;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0028,2026-02-21,2026-05-22,174,22,15,7,6,company/api-server;company/auth-service;company/design-system;company/observability;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0032,2026-02-21,2026-05-22,76,15,12,3,4,company/data-pipeline;company/mobile-app;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0036,2026-02-21,2026-05-22,66,23,20,3,4,company/api-server;company/data-pipeline;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0052,2026-02-21,2026-05-22,82,29,19,10,5,company/api-server;company/data-pipeline;company/observability;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0060,2026-02-21,2026-05-22,142,28,18,10,4,company/api-server;company/data-pipeline;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0072,2026-02-21,2026-05-22,125,36,31,5,6,company/auth-service;company/data-pipeline;company/observability;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0080,2026-02-21,2026-05-22,99,35,25,10,4,company/api-server;company/mobile-app;company/observability;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0044,2026-02-21,2026-05-22,97,17,12,5,5,company/api-server;company/data-pipeline;company/mobile-app;company/payment-service;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0064,2026-02-21,2026-05-22,84,16,15,1,6,company/api-server;company/auth-service;company/data-pipeline;company/design-system;company/mobile-app;company/observability,2026-05-22T09:00:00+09:00,success,
gh-emp-0016,2026-02-21,2026-05-22,89,14,12,2,4,company/auth-service;company/design-system;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0076,2026-02-21,2026-05-22,40,17,12,5,3,company/auth-service;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0087,2026-02-21,2026-05-22,36,6,6,0,3,company/api-server;company/qa-automation;company/release-tools,2026-05-22T09:00:00+09:00,success,
gh-emp-0089,2026-02-21,2026-05-22,42,10,7,3,5,company/api-server;company/e2e-tests;company/mobile-app;company/qa-automation;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0083,2026-02-21,2026-05-22,48,7,6,1,5,company/api-server;company/e2e-tests;company/mobile-app;company/qa-automation;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0091,2026-02-21,2026-05-22,36,8,8,0,5,company/e2e-tests;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0093,2026-02-21,2026-05-22,40,10,8,2,3,company/api-server;company/e2e-tests;company/release-tools,2026-05-22T09:00:00+09:00,success,
gh-emp-0095,2026-02-21,2026-05-22,37,9,6,3,4,company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0099,2026-02-21,2026-05-22,45,9,6,3,6,company/api-server;company/e2e-tests;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0097,2026-02-21,2026-05-22,37,14,11,3,4,company/api-server;company/e2e-tests;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0085,2026-02-21,2026-05-22,38,1,1,0,6,company/api-server;company/e2e-tests;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0094,2026-02-21,2026-05-22,30,5,5,0,4,company/api-server;company/e2e-tests;company/qa-automation;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0098,2026-02-21,2026-05-22,37,8,6,2,3,company/e2e-tests;company/qa-automation;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0084,2026-02-21,2026-05-22,42,9,7,2,3,company/e2e-tests;company/mobile-app;company/qa-automation,2026-05-22T09:00:00+09:00,success,
gh-emp-0086,2026-02-21,2026-05-22,37,8,5,3,4,company/e2e-tests;company/mobile-app;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0090,2026-02-21,2026-05-22,32,10,8,2,5,company/api-server;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0088,2026-02-21,2026-05-22,60,9,6,3,2,company/e2e-tests;company/release-tools,2026-05-22T09:00:00+09:00,success,
gh-emp-0092,2026-02-21,2026-05-22,38,8,7,1,2,company/api-server;company/mobile-app,2026-05-22T09:00:00+09:00,success,
gh-emp-0100,2026-02-21,2026-05-22,45,2,1,1,6,company/api-server;company/e2e-tests;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0096,2026-02-21,2026-05-22,47,6,4,2,5,company/api-server;company/mobile-app;company/qa-automation;company/release-tools;company/web-frontend,2026-05-22T09:00:00+09:00,success,
