jira_account_id,measured_from,measured_to,assigned_issue_count,reported_issue_count,completed_issue_count,issue_type_mix,priority_mix,avg_cycle_time,overdue_issue_count,estimation_accuracy,worklog_hours,comment_count,avg_comment_response_time,collaboration_touchpoints,status_transition_count,avg_time_in_status,reopened_issue_count,scope_change_count,task_breakdown_count,sprint_participation,sprint_completion_rate,context_switching_score,autonomy_score,ownership_score,bottleneck_risk,fetched_at,fetch_status,error_message
jira-0037,2026-02-21,2026-05-22,29,9,25,Story:43%;Bug:23%;Task:17%;Tech Debt:11%;Incident:6%,Highest:9%;High:28%;Medium:51%;Low:12%,6.4,6,0.91,150.3,62,10.2,13,69,2.3,0,5,1,SPR-2026-08;SPR-2026-09;SPR-2026-12,0.812,74.7,78.5,84.5,39.7,2026-05-22T09:00:00+09:00,success,
jira-0045,2026-02-21,2026-05-22,24,9,13,Story:45%;Bug:22%;Task:19%;Tech Debt:10%;Incident:4%,Highest:7%;High:26%;Medium:52%;Low:15%,4.3,5,1.1,109.0,64,11.2,14,66,1.1,0,8,7,SPR-2026-11;SPR-2026-10;SPR-2026-09;SPR-2026-12;SPR-2026-08,0.549,61.1,85.7,88.4,55.8,2026-05-22T09:00:00+09:00,success,
jira-0049,2026-02-21,2026-05-22,31,15,21,Story:45%;Bug:26%;Task:17%;Tech Debt:12%,Highest:8%;High:27%;Medium:50%;Low:15%,5.5,4,0.73,88.9,56,15.5,10,113,2.3,1,6,8,SPR-2026-10;SPR-2026-11;SPR-2026-08,0.63,67.2,76.0,64.8,37.4,2026-05-22T09:00:00+09:00,success,
jira-0013,2026-02-21,2026-05-22,24,7,20,Story:43%;Bug:23%;Task:13%;Tech Debt:12%;Incident:9%,Highest:12%;High:22%;Medium:54%;Low:12%,5.5,4,0.9,126.8,51,13.4,11,67,1.3,0,5,2,SPR-2026-08;SPR-2026-10;SPR-2026-11;SPR-2026-07,0.736,57.3,63.5,71.6,32.0,2026-05-22T09:00:00+09:00,success,
jira-0025,2026-02-21,2026-05-22,35,21,31,Story:42%;Bug:27%;Task:17%;Tech Debt:14%,Highest:7%;High:21%;Medium:59%;Low:13%,4.6,0,0.84,123.5,69,20.9,13,123,1.3,3,8,5,SPR-2026-09;SPR-2026-07;SPR-2026-12,0.826,83.2,58.9,64.4,5.4,2026-05-22T09:00:00+09:00,success,
jira-0065,2026-02-21,2026-05-22,47,22,37,Story:40%;Bug:23%;Task:20%;Tech Debt:6%;Incident:11%,Highest:6%;High:21%;Medium:54%;Low:19%,7.9,3,1.16,102.1,115,35.7,9,138,2.3,1,11,4,SPR-2026-10;SPR-2026-08;SPR-2026-07;SPR-2026-11,0.842,80.0,57.7,82.2,45.2,2026-05-22T09:00:00+09:00,success,
jira-0041,2026-02-21,2026-05-22,26,8,19,Story:45%;Bug:26%;Task:19%;Tech Debt:10%,Highest:7%;High:19%;Medium:52%;Low:22%,5.9,4,0.91,110.0,45,13.3,9,67,1.8,0,2,5,SPR-2026-07;SPR-2026-09;SPR-2026-08,0.659,79.8,89.1,86.6,31.0,2026-05-22T09:00:00+09:00,success,
jira-0053,2026-02-21,2026-05-22,29,10,26,Story:41%;Bug:20%;Task:22%;Tech Debt:14%;Incident:3%,Highest:6%;High:21%;Medium:59%;Low:14%,5.6,3,0.94,121.4,69,1,11,51,1.7,2,6,7,SPR-2026-07;SPR-2026-09;SPR-2026-11,0.807,85.8,46.7,59.8,27.2,2026-05-22T09:00:00+09:00,success,
jira-0057,2026-02-21,2026-05-22,23,14,14,Story:37%;Bug:24%;Task:17%;Tech Debt:14%;Incident:8%,Highest:10%;High:28%;Medium:49%;Low:13%,4.7,1,0.93,121.1,69,15.3,9,77,1.4,2,0,5,SPR-2026-08;SPR-2026-09;SPR-2026-12;SPR-2026-07;SPR-2026-11,0.561,87.9,78.9,75.3,28.7,2026-05-22T09:00:00+09:00,success,
jira-0069,2026-02-21,2026-05-22,40,13,30,Story:40%;Bug:24%;Task:18%;Tech Debt:12%;Incident:6%,Highest:11%;High:24%;Medium:55%;Low:10%,4.8,3,1.09,142.9,88,1,10,96,1.6,2,13,9,SPR-2026-10;SPR-2026-08;SPR-2026-07;SPR-2026-11;SPR-2026-12,0.676,70.4,83.4,88.3,28.1,2026-05-22T09:00:00+09:00,success,
jira-0073,2026-02-21,2026-05-22,34,19,26,Story:40%;Bug:26%;Task:16%;Tech Debt:8%;Incident:10%,Highest:7%;High:23%;Medium:50%;Low:20%,4.2,3,1.13,129.9,55,4.3,8,124,1.7,0,9,5,SPR-2026-08;SPR-2026-09;SPR-2026-10;SPR-2026-11,0.817,89.0,68.4,76.3,29.3,2026-05-22T09:00:00+09:00,success,
jira-0077,2026-02-21,2026-05-22,39,12,31,Story:41%;Bug:22%;Task:17%;Tech Debt:10%;Incident:10%,Highest:4%;High:22%;Medium:55%;Low:19%,9.5,7,0.61,119.2,75,21.2,11,122,3.8,3,4,8,SPR-2026-09;SPR-2026-11;SPR-2026-12;SPR-2026-08,0.722,63.1,70.1,84.7,57.7,2026-05-22T09:00:00+09:00,success,
jira-0017,2026-02-21,2026-05-22,46,17,33,Story:43%;Bug:19%;Task:14%;Tech Debt:9%;Incident:15%,Highest:9%;High:23%;Medium:52%;Low:16%,5.7,5,0.72,124.2,94,14.9,8,142,1.4,0,7,11,SPR-2026-12;SPR-2026-11;SPR-2026-07,0.648,96.6,57.3,76.5,48.7,2026-05-22T09:00:00+09:00,success,
jira-0021,2026-02-21,2026-05-22,25,7,19,Story:39%;Bug:20%;Task:17%;Tech Debt:7%;Incident:17%,Highest:16%;High:24%;Medium:49%;Low:11%,6.6,3,0.62,113.1,44,1,4,69,1.8,0,9,5,SPR-2026-09;SPR-2026-11;SPR-2026-12,0.707,68.4,75.1,73.5,16.9,2026-05-22T09:00:00+09:00,success,
jira-0029,2026-02-21,2026-05-22,39,14,33,Story:40%;Bug:21%;Task:19%;Tech Debt:13%;Incident:7%,Highest:6%;High:23%;Medium:52%;Low:19%,7.6,6,0.96,124.3,80,25.5,7,95,1.8,3,5,12,SPR-2026-09;SPR-2026-12;SPR-2026-10;SPR-2026-08;SPR-2026-11,0.765,78.0,62.0,75.2,36.3,2026-05-22T09:00:00+09:00,success,
jira-0033,2026-02-21,2026-05-22,28,11,18,Story:39%;Bug:21%;Task:16%;Tech Debt:15%;Incident:9%,Highest:8%;High:23%;Medium:58%;Low:11%,6.5,5,1.06,100.6,69,13.4,3,92,1.7,0,8,6,SPR-2026-07;SPR-2026-10;SPR-2026-11;SPR-2026-08,0.648,65.2,81.6,70.7,38.7,2026-05-22T09:00:00+09:00,success,
jira-0061,2026-02-21,2026-05-22,38,15,34,Story:36%;Bug:25%;Task:13%;Tech Debt:14%;Incident:12%,Highest:6%;High:22%;Medium:49%;Low:23%,2.2,3,1.06,57.4,78,9.1,12,97,0.7,2,9,11,SPR-2026-10;SPR-2026-11;SPR-2026-07;SPR-2026-09,0.926,100,91.0,100,16.1,2026-05-22T09:00:00+09:00,success,
jira-0081,2026-02-21,2026-05-22,30,14,20,Story:39%;Bug:25%;Task:16%;Tech Debt:9%;Incident:11%,Highest:6%;High:25%;Medium:53%;Low:16%,5.2,2,1.16,136.3,68,8.4,11,70,2.0,1,8,8,SPR-2026-10;SPR-2026-12;SPR-2026-07,0.666,69.0,74.7,71.2,31.6,2026-05-22T09:00:00+09:00,success,
jira-0014,2026-02-21,2026-05-22,18,11,5,Story:42%;Bug:27%;Task:22%;Tech Debt:9%,Highest:6%;High:20%;Medium:51%;Low:23%,4.4,0,1.08,110.4,35,24.2,9,58,1.8,0,0,4,SPR-2026-12;SPR-2026-09;SPR-2026-07,0.291,63.5,65.6,54.0,19.9,2026-05-22T09:00:00+09:00,success,
jira-0038,2026-02-21,2026-05-22,26,8,20,Story:45%;Bug:20%;Task:22%;Tech Debt:13%,Highest:9%;High:21%;Medium:50%;Low:20%,8.4,1,0.73,119.1,50,10.6,11,57,2.6,3,10,3,SPR-2026-07;SPR-2026-10;SPR-2026-12;SPR-2026-11;SPR-2026-08,0.705,75.1,71.7,59.5,13.1,2026-05-22T09:00:00+09:00,success,
jira-0042,2026-02-21,2026-05-22,16,6,9,Story:40%;Bug:25%;Task:18%;Tech Debt:14%;Incident:3%,Highest:5%;High:25%;Medium:47%;Low:23%,4.9,1,1.2,93.3,34,17.7,5,56,1.5,0,4,4,SPR-2026-07;SPR-2026-12;SPR-2026-10;SPR-2026-08;SPR-2026-09,0.578,59.6,57.0,75.1,24.0,2026-05-22T09:00:00+09:00,success,
jira-0058,2026-02-21,2026-05-22,35,17,22,Story:41%;Bug:22%;Task:19%;Tech Debt:12%;Incident:6%,Highest:8%;High:15%;Medium:48%;Low:29%,4.2,2,1.04,103.5,75,13.1,10,112,1.3,2,7,7,SPR-2026-09;SPR-2026-07;SPR-2026-11;SPR-2026-12,0.64,86.3,64.5,65.7,36.6,2026-05-22T09:00:00+09:00,success,
jira-0070,2026-02-21,2026-05-22,32,16,22,Story:39%;Bug:26%;Task:11%;Tech Debt:11%;Incident:13%,Highest:7%;High:26%;Medium:54%;Low:13%,3.6,2,1.11,121.9,74,11.3,15,80,1.6,1,8,5,SPR-2026-08;SPR-2026-10;SPR-2026-09;SPR-2026-07,0.641,74.2,55.6,69.5,29.0,2026-05-22T09:00:00+09:00,success,
jira-0018,2026-02-21,2026-05-22,32,15,28,Story:40%;Bug:23%;Task:16%;Tech Debt:12%;Incident:9%,Highest:8%;High:19%;Medium:54%;Low:19%,8.0,3,0.87,91.2,78,20.5,11,75,3.0,3,8,0,SPR-2026-09;SPR-2026-12;SPR-2026-10;SPR-2026-07;SPR-2026-08,0.783,51.9,51.9,82.2,29.8,2026-05-22T09:00:00+09:00,success,
jira-0022,2026-02-21,2026-05-22,22,5,15,Story:44%;Bug:24%;Task:19%;Tech Debt:13%,Highest:7%;High:30%;Medium:53%;Low:10%,4.5,2,0.99,124.7,47,19.0,7,52,1.7,0,8,4,SPR-2026-07;SPR-2026-10;SPR-2026-12,0.715,52.8,54.5,76.8,27.8,2026-05-22T09:00:00+09:00,success,
jira-0046,2026-02-21,2026-05-22,25,9,20,Story:43%;Bug:23%;Task:18%;Tech Debt:14%;Incident:2%,Highest:13%;High:20%;Medium:55%;Low:12%,8.2,1,0.98,106.8,47,2.8,14,62,2.0,0,5,2,SPR-2026-09;SPR-2026-10;SPR-2026-12;SPR-2026-11,0.841,99.1,81.0,78.6,18.8,2026-05-22T09:00:00+09:00,success,
jira-0062,2026-02-21,2026-05-22,29,10,27,Story:42%;Bug:27%;Task:16%;Tech Debt:11%;Incident:4%,Highest:8%;High:19%;Medium:50%;Low:23%,4.7,4,0.83,104.9,60,16.0,14,83,2.0,1,5,1,SPR-2026-12;SPR-2026-11;SPR-2026-10;SPR-2026-07,0.919,75.3,73.0,83.0,32.3,2026-05-22T09:00:00+09:00,success,
jira-0078,2026-02-21,2026-05-22,26,8,23,Story:44%;Bug:24%;Task:14%;Tech Debt:12%;Incident:6%,Highest:7%;High:24%;Medium:56%;Low:13%,7.9,4,1.19,155.4,53,28.1,16,86,2.3,1,4,4,SPR-2026-09;SPR-2026-12;SPR-2026-08;SPR-2026-11;SPR-2026-07,0.919,65.3,50.6,85.1,28.4,2026-05-22T09:00:00+09:00,success,
jira-0082,2026-02-21,2026-05-22,32,13,27,Story:40%;Bug:24%;Task:19%;Tech Debt:11%;Incident:6%,Highest:7%;High:24%;Medium:56%;Low:13%,5.0,0,1.03,90.1,77,16.0,11,106,1.3,1,5,5,SPR-2026-11;SPR-2026-08;SPR-2026-09;SPR-2026-07,0.803,98.8,71.0,83.6,4.5,2026-05-22T09:00:00+09:00,success,
jira-0026,2026-02-21,2026-05-22,33,11,25,Story:37%;Bug:28%;Task:19%;Tech Debt:14%;Incident:2%,Highest:10%;High:19%;Medium:55%;Low:16%,2.8,2,0.9,98.5,67,1,9,81,0.8,1,8,9,SPR-2026-09;SPR-2026-10;SPR-2026-12;SPR-2026-08;SPR-2026-07,0.679,78.0,78.9,81.7,13.0,2026-05-22T09:00:00+09:00,success,
jira-0050,2026-02-21,2026-05-22,32,17,34,Story:41%;Bug:26%;Task:15%;Tech Debt:11%;Incident:7%,Highest:9%;High:19%;Medium:48%;Low:24%,6.6,1,0.87,76.3,48,3.1,9,112,2.3,1,11,10,SPR-2026-11;SPR-2026-12;SPR-2026-10,1.096,91.5,87.8,66.9,6.0,2026-05-22T09:00:00+09:00,success,
jira-0054,2026-02-21,2026-05-22,31,10,19,Story:39%;Bug:22%;Task:18%;Tech Debt:10%;Incident:11%,Highest:5%;High:29%;Medium:48%;Low:18%,7.9,4,1.1,114.7,68,1,7,106,2.5,0,12,4,SPR-2026-07;SPR-2026-12;SPR-2026-08;SPR-2026-11,0.644,76.8,50.5,67.2,39.3,2026-05-22T09:00:00+09:00,success,
jira-0066,2026-02-21,2026-05-22,25,12,16,Story:42%;Bug:20%;Task:13%;Tech Debt:13%;Incident:12%,Highest:9%;High:25%;Medium:48%;Low:18%,5.3,3,0.75,158.3,49,5.5,12,52,1.6,0,10,2,SPR-2026-09;SPR-2026-07;SPR-2026-08;SPR-2026-10;SPR-2026-12,0.594,74.1,57.6,69.6,36.4,2026-05-22T09:00:00+09:00,success,
jira-0074,2026-02-21,2026-05-22,31,12,30,Story:46%;Bug:24%;Task:20%;Tech Debt:10%,Highest:8%;High:25%;Medium:50%;Low:17%,5.5,5,0.78,134.0,63,13.3,13,102,1.9,2,4,12,SPR-2026-09;SPR-2026-07;SPR-2026-11,0.883,57.9,69.3,81.1,26.9,2026-05-22T09:00:00+09:00,success,
jira-0030,2026-02-21,2026-05-22,26,6,23,Story:40%;Bug:24%;Task:17%;Tech Debt:9%;Incident:10%,Highest:8%;High:23%;Medium:50%;Low:19%,7.4,2,1.18,108.7,49,1.4,10,77,1.8,1,6,6,SPR-2026-07;SPR-2026-12;SPR-2026-08;SPR-2026-09,0.881,39.2,83.3,77.6,22.9,2026-05-22T09:00:00+09:00,success,
jira-0034,2026-02-21,2026-05-22,22,10,19,Story:41%;Bug:20%;Task:18%;Tech Debt:10%;Incident:11%,Highest:7%;High:19%;Medium:57%;Low:17%,4.4,0,0.83,125.8,49,4.2,6,29,1.3,1,8,8,SPR-2026-10;SPR-2026-09;SPR-2026-07,0.827,69.7,76.3,62.6,10.7,2026-05-22T09:00:00+09:00,success,
jira-0040,2026-02-21,2026-05-22,20,8,18,Story:45%;Bug:20%;Task:20%;Tech Debt:11%;Incident:4%,Highest:10%;High:22%;Medium:53%;Low:15%,2.5,0,1.01,128.9,51,16.0,5,51,0.6,2,3,4,SPR-2026-08;SPR-2026-07;SPR-2026-10;SPR-2026-12;SPR-2026-11,0.943,76.3,89.3,74.7,1.4,2026-05-22T09:00:00+09:00,success,
jira-0020,2026-02-21,2026-05-22,33,9,31,Story:39%;Bug:24%;Task:19%;Tech Debt:16%;Incident:2%,Highest:10%;High:22%;Medium:52%;Low:16%,4.1,1,0.76,99.5,71,11.9,8,116,1.1,1,9,1,SPR-2026-11;SPR-2026-08;SPR-2026-10;SPR-2026-12;SPR-2026-09,0.872,66.9,68.8,87.6,23.1,2026-05-22T09:00:00+09:00,success,
jira-0024,2026-02-21,2026-05-22,26,7,19,Story:44%;Bug:22%;Task:17%;Tech Debt:13%;Incident:4%,Highest:5%;High:29%;Medium:56%;Low:10%,7.1,2,1.15,133.8,38,14.8,17,76,2.8,1,8,3,SPR-2026-09;SPR-2026-11;SPR-2026-07;SPR-2026-12;SPR-2026-10,0.675,55.3,82.0,81.5,26.8,2026-05-22T09:00:00+09:00,success,
jira-0048,2026-02-21,2026-05-22,36,14,30,Story:44%;Bug:24%;Task:22%;Tech Debt:8%;Incident:2%,Highest:12%;High:21%;Medium:55%;Low:12%,9.0,4,0.97,112.0,67,11.4,11,118,2.3,1,3,1,SPR-2026-10;SPR-2026-12;SPR-2026-08;SPR-2026-09;SPR-2026-07,0.784,61.3,55.6,72.0,37.4,2026-05-22T09:00:00+09:00,success,
